Angle of Attack [deg];Lift Coefficient Cl [-]
1.0100000e+02;-2.1844733e-01
1.0200000e+02;-2.5750667e-01
1.0300000e+02;-2.9617849e-01
1.0400000e+02;-3.3440912e-01
1.0500000e+02;-3.7214524e-01
1.0600000e+02;-4.0933397e-01
1.0700000e+02;-4.4592300e-01
1.0800000e+02;-4.8186073e-01
1.0900000e+02;-5.1709622e-01
1.1000000e+02;-5.5157948e-01
1.1100000e+02;-5.8526140e-01
1.1200000e+02;-6.1809397e-01
1.1300000e+02;-6.5003031e-01
1.1400000e+02;-6.8102479e-01
1.1500000e+02;-7.1103299e-01
1.1600000e+02;-7.4001211e-01
1.1700000e+02;-7.6792067e-01
1.1800000e+02;-7.9471892e-01
1.1900000e+02;-8.2036871e-01
1.2000000e+02;-8.4483349e-01
1.2100000e+02;-8.6807889e-01
1.2200000e+02;-8.9007211e-01
1.2300000e+02;-9.1078246e-01
1.2400000e+02;-9.4766891e-01
1.2500000e+02;-9.6549433e-01
1.2600000e+02;-9.8196977e-01
1.2700000e+02;-9.9707311e-01
1.2800000e+02;-1.0107845e+00
1.2900000e+02;-1.0230862e+00
1.3000000e+02;-1.0339632e+00
1.3100000e+02;-1.0434027e+00
1.3200000e+02;-1.0513943e+00
1.3300000e+02;-1.0579305e+00
1.3400000e+02;-1.0630056e+00
1.3500000e+02;-1.0666169e+00
1.3600000e+02;-1.0687643e+00
1.3700000e+02;-1.0694499e+00
1.3800000e+02;-1.0686787e+00
1.3900000e+02;-1.0664582e+00
1.4000000e+02;-1.0627981e+00
1.4100000e+02;-1.0577111e+00
1.4200000e+02;-1.0512123e+00
1.4300000e+02;-1.0433190e+00
1.4400000e+02;-1.0340514e+00
1.4500000e+02;-1.0234321e+00
1.4600000e+02;-1.0114859e+00
1.4700000e+02;-9.9824035e-01
1.4800000e+02;-9.8372507e-01
1.4900000e+02;-9.6797210e-01
1.5000000e+02;-9.5101589e-01
1.5100000e+02;-9.3289304e-01
1.5200000e+02;-9.1364235e-01
1.5300000e+02;-8.9330477e-01
1.5400000e+02;-8.7192327e-01
1.5500000e+02;-8.4954304e-01
1.5600000e+02;-8.2621104e-01
1.5700000e+02;-8.0197614e-01
1.5800000e+02;-7.7688903e-01
1.5900000e+02;-7.5100207e-01
1.6000000e+02;-7.2436911e-01
1.6100000e+02;-6.9704533e-01
1.6200000e+02;-6.6908699e-01
1.6300000e+02;-6.4055097e-01
1.6400000e+02;-6.1149436e-01
1.6500000e+02;-5.8197379e-01
1.6600000e+02;-5.5204409e-01
1.6700000e+02;-5.2175707e-01
1.6800000e+02;-4.9115902e-01
1.6900000e+02;-4.6028754e-01
1.7000000e+02;-4.2916667e-01
1.7100000e+02;-3.9779982e-01
1.7200000e+02;-3.6615920e-01
1.7300000e+02;-3.3417076e-01
1.7400000e+02;-3.0169192e-01
1.7500000e+02;-2.6848024e-01
1.7600000e+02;-2.3414944e-01
1.7700000e+02;-1.9811100e-01
1.7800000e+02;-1.5950204e-01
1.7900000e+02;-1.1710934e-01
1.8000000e+02;-6.9316939e-02
