Velocity (m/s),Thrust (N),Torque (Nm),Power (W),Efficiency,CT,CP,J,Thrust_per_unit_Area
21.0,298.3854135839716,23.672314277087978,12394.794771061393,0.5055423507207312,0.08563356894948164,0.053357694326954336,0.315,593.6189189801082
22.0,279.2575139406032,22.733481727821083,11903.223197773419,0.5161345968747764,0.08014405693448433,0.05124155394449654,0.32999999999999996,555.5651717400108
23.0,259.8825119436589,21.76489881775771,11396.0743719988,0.5245049812408142,0.07458362906546333,0.04905835587435708,0.345,517.019829987148
24.0,240.26560884993202,20.765741881070486,10872.917023318822,0.5303429245373065,0.06895377805004425,0.046806243563394155,0.36,477.9932412931314
25.0,220.4028839033208,19.73526277860587,10333.359426988714,0.533231437125064,0.06325337867123364,0.044483530696539424,0.375,438.4776055615329
26.0,200.2669058749586,18.672154625016997,9776.717299441012,0.5325856719869186,0.05747455844625725,0.04208727153777221,0.38999999999999996,398.4183500964875
27.0,179.85486712656615,17.57641004587677,9202.986779434717,0.5276636301672015,0.05161651161157829,0.03961744946504103,0.40499999999999997,357.8098892791129
28.0,159.19164406806505,16.447120254085732,8611.69202715727,0.5175946863693409,0.045686377443003356,0.03707201606078544,0.42,316.70171315447686
29.0,138.27580971638898,15.283732011685837,8002.5433678912295,0.5010905030349077,0.039683746410953465,0.034449724319684814,0.43499999999999994,275.0909828299704
30.0,117.10014634016393,14.085570400297323,7375.187415199319,0.47632747378935275,0.03360654710017459,0.03174905296721645,0.44999999999999996,232.96333908526756
31.0,95.66986746208173,12.851810673886314,6729.192333068022,0.4407313306755137,0.027456275738480085,0.028968143015439506,0.46499999999999997,190.3291538942098
32.0,73.96379322960829,11.581160254342912,6063.881329181632,0.3903178929240175,0.021226853924313602,0.026104080977025518,0.48,147.14629127898775
33.0,51.992041765171855,10.273220972884332,5379.045922853001,0.31896685822318815,0.014921185455565901,0.023155969374526627,0.49499999999999994,103.43488060459215
34.0,29.762485685936213,8.927752824462573,4674.560447732857,0.21647479471842332,0.008541529693030162,0.020123267233543865,0.51,59.21058394523159
35.0,7.260818661749121,7.543569677365911,3949.803846709245,0.0643395629311934,0.002083780865935653,0.017003300998270028,0.5249999999999999,14.444939761390662
36.0,-15.502445477860173,6.120104804346411,3204.4793820890472,-0.17415872304322347,-0.004449043663926708,0.013794793258355273,0.5399999999999999,-30.84113534767557
37.0,-38.53990403303319,4.655910022609209,2437.82878713403,-0.5849370787431878,-0.011060559193153656,0.010494479791552743,0.5549999999999999,-76.6727029143063
38.0,-61.8497223003783,3.1505910974045213,1649.645641011908,-1.4247238249135044,-0.01775023918059326,0.007101471987774476,0.57,-123.04611291207797
39.0,-85.4250694399531,1.603942689450272,839.8224283260049,-3.96700254219087,-0.0245161232448845,0.003615307009694217,0.585,-169.94777581671178
40.0,-109.26751371260124,0.015050423192398188,7.880383155775932,-554.6304617562336,-0.03135866146088683,3.392384330452011e-05,0.6,-217.3808115840243
41.0,-131.03233092848453,-0.7820408082091521,-409.4756096462161,0.0,-0.037604941911873746,-0.0017627298246887491,0.615,-260.6805396515169
42.0,-155.418251413894,-2.4364316988172607,-1275.712654329601,0.0,-0.044603452255262944,-0.005491747714747963,0.63,-309.1947869902523
43.0,-180.0664461396618,-4.132990004198826,-2164.0285057585133,0.0,-0.05167723262936722,-0.009315811488437476,0.6449999999999999,-358.23081235147134
44.0,-204.982304893508,-5.874212612243733,-3075.7305313749034,0.0,-0.05882782984826441,-0.013240549162487625,0.6599999999999999,-407.79933837714754
45.0,-230.16349460647754,-7.660144833293186,-4010.8424556179475,0.0,-0.06605457434497122,-0.01726606286697777,0.6749999999999999,-457.89572357407116
46.0,-255.6186684964483,-9.491840200829195,-4969.915907328877,0.0,-0.07335994950472048,-0.021394727279636427,0.69,-508.53718297222855
47.0,-281.3556798502487,-11.37127367914803,-5953.984975395072,0.0,-0.08074620914069637,-0.025630993994844854,0.705,-559.7393401893481
48.0,-307.36478221906833,-13.299048500449176,-6963.365511457581,0.0,-0.08821055612154384,-0.02997622270557313,0.72,-611.4828052816077
49.0,-333.6385021208982,-15.27492213354557,-7997.930526483815,0.0,-0.09575084563418633,-0.03442986674347305,0.735,-663.7527102289594
50.0,-360.1783413292723,-17.299108380051212,-9057.791966737086,0.0,-0.1033675086723039,-0.038992408020073546,0.75,-716.5520427149198
51.0,-386.974270342701,-19.3692148753102,-10141.697193012777,0.0,-0.11105766687131087,-0.04365845411532923,0.7649999999999999,-769.8608496802538
52.0,-414.04079803423934,-21.48837567745654,-11251.28719431251,0.0,-0.1188254841297243,-0.0484350692357203,0.7799999999999999,-823.7079956107787
53.0,-441.4034872359084,-23.656020797932086,-12386.263525325134,0.0,-0.12667829671948902,-0.05332096861986266,0.7949999999999999,-878.1443361449394
54.0,-469.02628948911706,-25.873704352473155,-13547.43991914732,0.0,-0.13460575910083078,-0.05831965526418648,0.8099999999999999,-933.0981551530406
55.0,-496.9136095094931,-28.143650789095474,-14735.981094036488,0.0,-0.1426091353821887,-0.06343614310251676,0.825,-988.5782155383959
56.0,-525.0995364305371,-30.463841630892396,-15950.830177955742,0.0,-0.15069820879702914,-0.0686658824625008,0.84,-1044.6523354772844
57.0,-553.5504202616239,-32.83613851945252,-17192.96192416148,0.0,-0.1588633221414099,-0.07401306950771044,0.855,-1101.2535704404188
