Rotor 1 : vbmrotor_1
Iteration, Elapsed Time, Thrust [N], Torque [Nm], Power [W], Roll_Moment [Nm], Pitch_Moment [Nm], X_Force [N], Y_Force [N]
90, 0, 25.24859, -7.226949, 578.1559, 9.321382e-06, -4.843727e-05, -2.564955e-05, 0.0003179312
91, 0, 25.2486, -7.226952, 578.1561, 8.804768e-06, -4.664154e-05, -2.857872e-05, 0.0003115345
92, 0, 25.24862, -7.226957, 578.1565, 7.48265e-06, -4.378288e-05, -3.653892e-05, 0.0002980794
93, 0, 25.24864, -7.226962, 578.1569, 6.428763e-06, -3.999292e-05, -4.370146e-05, 0.0002779864
94, 0, 25.24866, -7.226969, 578.1575, 5.073046e-06, -3.512662e-05, -5.367889e-05, 0.0002508085
95, 0, 25.24869, -7.226975, 578.158, 4.511593e-06, -3.07581e-05, -5.947916e-05, 0.0002266426
96, 0, 25.24871, -7.22698, 578.1584, 3.811399e-06, -2.662887e-05, -6.602634e-05, 0.0002030014
97, 0, 25.24873, -7.226986, 578.1589, 3.199092e-06, -2.266503e-05, -7.237357e-05, 0.0001806556
98, 0, 25.24875, -7.226992, 578.1593, 2.615943e-06, -1.871122e-05, -7.862441e-05, 0.0001575642
99, 0, 25.24877, -7.226996, 578.1597, 2.446726e-06, -1.55646e-05, -8.285143e-05, 0.0001380521
100, 0, 25.24878, -7.227, 578.16, 2.203343e-06, -1.275375e-05, -8.751157e-05, 0.0001195076
101, 0, 25.2488, -7.227004, 578.1603, 2.257679e-06, -1.063513e-05, -9.056414e-05, 0.000104389
102, 0, 25.2488, -7.227006, 578.1605, 2.453667e-06, -9.559636e-06, -9.261483e-05, 9.530369e-05
103, 0, 25.24881, -7.227008, 578.1606, 2.63673e-06, -9.213547e-06, -9.380807e-05, 9.051366e-05
104, 0, 25.24881, -7.227009, 578.1607, 2.683537e-06, -9.116068e-06, -9.55667e-05, 8.63339e-05
105, 0, 25.24882, -7.227009, 578.1608, 2.746289e-06, -9.278806e-06, -9.68854e-05, 8.359803e-05
106, 0, 25.24882, -7.227011, 578.1609, 2.618312e-06, -9.285068e-06, -9.920554e-05, 7.974496e-05
107, 0, 25.24883, -7.227012, 578.161, 2.636693e-06, -9.396316e-06, -0.0001009803, 7.586615e-05
108, 0, 25.24883, -7.227013, 578.1611, 2.828427e-06, -1.01665e-05, -0.0001013474, 7.621911e-05
109, 0, 25.24884, -7.227014, 578.1611, 2.906032e-06, -1.147323e-05, -0.0001016868, 7.977941e-05
