Angle of Attack [deg];Drag Coefficient Cd [-]
1.0300000e+02;1.6556175e+00
1.0400000e+02;1.6418518e+00
1.0500000e+02;1.6271385e+00
1.0600000e+02;1.6114961e+00
1.0700000e+02;1.5949444e+00
1.0800000e+02;1.5775042e+00
1.0900000e+02;1.5591973e+00
1.1000000e+02;1.5400468e+00
1.1100000e+02;1.5200768e+00
1.1200000e+02;1.4993120e+00
1.1300000e+02;1.4777787e+00
1.1400000e+02;1.4555035e+00
1.1500000e+02;1.4325144e+00
1.1600000e+02;1.4088399e+00
1.1700000e+02;1.3845096e+00
1.1800000e+02;1.3595537e+00
1.1900000e+02;1.3340033e+00
1.2000000e+02;1.3078901e+00
1.2100000e+02;1.2812465e+00
1.2200000e+02;1.2541057e+00
1.2300000e+02;1.2265012e+00
1.2400000e+02;1.1984671e+00
1.2500000e+02;1.1700385e+00
1.2600000e+02;1.1412501e+00
1.2700000e+02;1.1121377e+00
1.2800000e+02;1.0827373e+00
1.2900000e+02;1.0530851e+00
1.3000000e+02;1.0232178e+00
1.3100000e+02;9.9317205e-01
1.3200000e+02;9.6298492e-01
1.3300000e+02;9.3269366e-01
1.3400000e+02;9.0233535e-01
1.3500000e+02;8.7194741e-01
1.3600000e+02;8.4156710e-01
1.3700000e+02;8.1123173e-01
1.3800000e+02;7.8097850e-01
1.3900000e+02;7.5084442e-01
1.4000000e+02;7.2086632e-01
1.4100000e+02;6.9108099e-01
1.4200000e+02;6.6152471e-01
1.4300000e+02;6.3223356e-01
1.4400000e+02;6.0324335e-01
1.4500000e+02;5.7458925e-01
1.4600000e+02;5.4630625e-01
1.4700000e+02;5.1842862e-01
1.4800000e+02;4.9099031e-01
1.4900000e+02;4.6402451e-01
1.5000000e+02;4.3756396e-01
1.5100000e+02;4.1164064e-01
1.5200000e+02;3.8628587e-01
1.5300000e+02;3.6153027e-01
1.5400000e+02;3.3740366e-01
1.5500000e+02;3.1393504e-01
1.5600000e+02;2.9115263e-01
1.5700000e+02;2.6908374e-01
1.5800000e+02;2.4775478e-01
1.5900000e+02;2.2719127e-01
1.6000000e+02;2.0741770e-01
1.6100000e+02;1.8845761e-01
1.6200000e+02;1.7033350e-01
1.6300000e+02;1.5306684e-01
1.6400000e+02;1.3667801e-01
1.6500000e+02;1.2118629e-01
1.6600000e+02;1.0660985e-01
1.6700000e+02;9.2965722e-02
1.6800000e+02;8.0269784e-02
1.6900000e+02;6.8536729e-02
1.7000000e+02;5.7780050e-02
1.7100000e+02;4.8012041e-02
1.7200000e+02;3.9243773e-02
1.7300000e+02;3.1485084e-02
1.7400000e+02;2.4744559e-02
1.7500000e+02;1.9029541e-02
1.7600000e+02;1.4346107e-02
1.7700000e+02;1.0699067e-02
1.7800000e+02;8.0919629e-03
1.7900000e+02;6.5270611e-03
1.8000000e+02;6.0053561e-03
